id,event_type,entry,subject_id,actor,corrects,phase_id,slice_id,occurred_at,custom_attributes,last_referenced
PE-001,work-done,Fixed DEF-001: overdue() now uses strict < so a task due today is not flagged OVERDUE; test_due_today_is_not_overdue green.,DEF-001,agent:lab-exec,,,SL-002,2026-08-14T14:41:11Z,,
PE-002,work-done,Fixed DEF-002: quarantined the flaky clock test by rewriting it as a deterministic tracker.add() round-trip with a tolerance window and temp DB; suite 4/4 green.,DEF-002,agent:lab-exec,,,SL-002,2026-08-14T14:41:11Z,,
PE-003,work-done,Implemented the history command (WBS-2): tracker.history(id) prints added/done timestamps; covered by test_add_list_done_history_round_trip.,WBS-2,agent:lab-exec,,,SL-001,2026-08-14T14:43:34Z,,
PE-004,work-done,Implemented FR-007 (SC-001 approved drift): tick export --csv writes open+done tasks as CSV to stdout; test_export_csv_includes_open_and_done green (suite 6/6).,FR-007,agent:lab-exec,,,SL-001,2026-08-14T14:46:32Z,,
PE-005,transition,"SL-001 closed: readiness clean (AC-001 Met, WBS-2 Implemented after verification), slice transitioned to Implemented.",SL-001,agent:lab-exec,,,SL-001,2026-08-14T14:48:15Z,,
PE-006,forced-override,FORCED transition: SL-002 -> Implemented past blocking readiness failures (acs-met (1)) — operator-confirmed override,SL-002,system:transition-guard,,,,2026-08-14T14:50:08Z,,
PE-007,gate-decision,"GATE-001 (ready, SL-002) decided Go — operator: seed tests triaged before SL-002 work (DEF-001/DEF-002/DEF-003 registered, suite deterministic).",GATE-001,agent:lab-exec,,,SL-002,2026-08-14T14:50:54Z,,
PE-008,gate-decision,"GATE-002 (approval) decided Go — operator approves the MVP for team rollout (SL-001 clean, SL-002 shipped under WVR-001 with AC-003 open).",GATE-002,agent:lab-exec,,,,2026-08-14T14:50:54Z,,
PE-009,note,REGISTRY-SYNC: entity types added (lesson),,system:migrate,,,,,,
PE-010,note,"Lessons continuation (plan 035 beat 10): registry-sync migration added the lesson type; LL-001 (improve, from DEF-001 boundary semantics) and LL-002 (sustain, evidence-chained verdicts) recorded Proposed with learned_from edges; operator approved and pinned LL-001, LL-002 left Proposed; handoff re-emitted with the Lessons section; review.html regenerated.",,agent:lab-continuation-035,,,,2026-08-15T17:36:15Z,,
PE-011,note,REGISTRY-SYNC: entity types added (skill),,system:migrate,,,,,,
PE-012,lesson-promoted,LESSON PROMOTED: LL-001 (promoted_to SKL-001) — operator_confirm attested,LL-001,system:lesson-guard,,,,2026-08-15T20:18:01Z,,
PE-013,note,"Plan-036 promotion continuation: registry-sync migrate added the skill type; the LL-002 auto-approve attempt was refused by the lesson confirm guard (stays Proposed); LL-001 promoted to SKL-001 (boundary-semantics, project level) on the operator's words — SKILL.md written to workspace/.claude/skills/boundary-semantics/SKILL.md; handoff re-emitted (pinned lesson left the note, skills line present); export refreshed.",SKL-001,agent:lab-continuation-036,,,,2026-08-15T20:19:19Z,,
PE-014,integrity-verified,"INTEGRITY-VERIFIED: canonical round-trip byte-identical over 26 file(s); digest sha256:e41ece4870e1416240c45c3c552273de5aecd79da1a05636ac0708f0058301a0 — of the store state BEFORE this row (recording rewrites progress_entries.jsonl, so the next verify's digest differs by construction); foreign files in data/: none",,system:package-verify,,,,2026-09-06T02:43:44Z,,
PE-015,note,"Beat 12 (plan 039, v4.5.0 RC) continuation: package_migrate refused (registry current, no foreign file); package_verify passed, recorded PE-014, digest moved by construction; keyset paging over AC-001..003 complete with constant total; SC-002 amends DEC-001 (export path may write a report file beside tasks.json) — Proposed -> Approved -> DEC-001 rationale narrowed and re-read -> Merged; amends->SL-001 refused; caller-written lesson-confirmed refused, LL-002 stays Proposed; handoff re-emitted.",SC-002,agent:lab-continuation-039,,,,2026-09-06T02:45:11Z,,
PE-016,correction,"EDGE RETIRED: SC-002 -relates_to-> DEC-001 (retire: true on the caller's write) — the corrected edge, if any, is written in the same batch",SC-002,system:edge-retire,,,,2026-09-06T12:18:36Z,,
PE-017,note,"Beat 13 (plan 040, v4.6.0 RC): wrote the relates_to residue beside SC-002 -amends-> DEC-001, retired it through {retire: true} (server correction row appended), confirmed both retire refusals, added AC-004 (FR-004/SL-002, Approved) with one Pending placeholder verdict so audit_evidence reads the three buckets.",SC-002,agent:lab-continuation-040,,,,2026-09-06T12:18:36Z,,
PE-018,note,"FIXTURE FIX (plan 040, after beat 13): AC-004 was bound to FR-004 (task history) by the beat brief's error while its statement describes the CSV export (FR-007); Approved ACs are immutable, so AC-005 supersedes it bound to FR-007 and carries the Pending placeholder; AC-004 retired_in 1.",,maintainer:plan-040-fixture-fix,,,,2026-09-06T12:26:29Z,,
