from_id,to_id,relation
AC-002,RISK-001,discharges
FR-001,DEC-001,derives_from
FR-002,DEC-001,derives_from
FR-003,ADR-0001,derives_from
FR-004,ADR-0001,derives_from
FR-005,ADR-0001,derives_from
FR-006,DEC-002,derives_from
LL-001,DEF-001,learned_from
LL-002,SL-001,learned_from
NFR-001,DEC-001,derives_from
SC-001,FR-007,scope_adds
SL-001,FR-001,implements
SL-001,FR-003,implements
SL-001,FR-004,implements
SL-001,FR-005,implements
SL-001,FR-007,implements
SL-002,FR-002,implements
SL-002,NFR-001,implements
TEST-001,FR-001,tests
TEST-001,FR-002,tests
TEST-001,FR-003,tests
TEST-001,FR-004,tests
TEST-001,FR-007,tests
TEST-001,NFR-001,tests
TEST-001,RISK-001,mitigates
TEST-002,FR-001,tests
TEST-002,FR-005,tests
WBS-1,FR-002,implements
WBS-2,FR-004,implements
